,artist,song
0,alicia keys,like you'll never see me again
7,keyshia cole,i remember
14,usher featuring young jeezy,love in this club
18,lil wayne featuring static major,lollipop
24,keyshia cole,heaven sent
33,lil wayne,a milli
34,rihanna,take a bow
35,jazmine sullivan,need u bad
39,t.i.,whatever you like
42,jennifer hudson,spotlight
44,ne-yo,miss independent
47,beyonce,single ladies (put a ring on it)
59,jamie foxx featuring t-pain,blame it
73,jeremih,birthday sex
75,keri hilson featuring kanye west & ne-yo,knock you down
77,drake,best i ever had
84,maxwell,pretty wings
98,jay-z + alicia keys,empire state of mind
101,usher,papers
103,trey songz featuring drake,i invented sex
105,melanie fiona,it kills me
114,robin thicke,sex therapy
116,timbaland featuring drake,say something
117,monica,everything to me
124,alicia keys,un-thinkable (i'm ready)
136,usher,there goes my baby
140,chris brown featuring tyga & kevin mccall,deuces
149,trey songz,can't be friends
162,jamie foxx featuring drake,fall for your type
164,nicki minaj featuring drake,moment 4 life
169,chris brown featuring lil wayne & busta rhymes,look at me now
177,miguel,sure thing
178,kelly rowland featuring lil wayne,motivation
184,"dj khaled featuring drake, rick ross & lil wayne",i'm on one
196,big sean featuring kanye west & roscoe dash,marvin & chardonnay
197,lil wayne featuring drake,she will
201,jay z  kanye west,ni**as in paris
208,wale featuring miguel,lotus flower bomb
213,drake featuring nicki minaj,make me proud
216,drake featuring lil wayne,the motto
218,beyonce,love on top
225,usher,climax
235,"kanye west, big sean, pusha t, 2 chainz",mercy
241,2 chainz featuring drake,no lie
246,miguel,adorn
250,rihanna,diamonds
264,macklemore & ryan lewis featuring wanz,thrift shop
278,macklemore & ryan lewis featuring ray dalton,can't hold us
285,robin thicke featuring t.i. + pharrell,blurred lines
301,drake featuring majid jordan,"hold on, we're going home"
306,eminem featuring rihanna,the monster
319,beyonce featuring jay z,drunk in love
320,pharrell williams,happy
332,john legend,all of me
335,iggy azalea featuring charli xcx,fancy
348,nicki minaj,anaconda
354,iggy azalea featuring rita ora,black widow
359,bobby shmurda,hot boy
361,big sean featuring e-40,i don't f**k with you
363,beyonce,7/11
364,"nicki minaj featuring drake, lil wayne & chris brown",only
365,taylor swift,our song
369,brad paisley,letter to me
373,rodney atkins,cleaning this gun (come on in boy)
375,carrie underwood,all-american girl
377,alan jackson,small town southern man
379,trace adkins,you're gonna miss this
382,george strait,i saw god today
384,james otto,just got started lovin' you
386,brad paisley,i'm still a guy
389,carrie underwood,last name
390,kenny chesney,better as a memory
392,montgomery gentry,back when i knew it all
393,blake shelton,home
395,alan jackson,good time
397,sugarland,all i want to do
398,taylor swift,should've said no
400,keith urban,you look good in my shirt
401,jimmy wayne,do you believe me now
402,brad paisley,waitin' on a woman
404,darius rucker,don't think i don't think about it
406,kenny chesney,everybody wants to go to heaven
407,kenny chesney with the wailers,everybody wants to go to heaven
408,toby keith,she never cried in front of me
409,carrie underwood,just a dream
411,taylor swift,love story
413,zac brown band,chicken fried
415,montgomery gentry,roll with me
417,rascal flatts,here
419,sugarland,already gone
420,brad paisley duet with keith urban,start a band
421,alan jackson,country boy
422,blake shelton,she wouldn't be gone
424,dierks bentley,feel that fire
425,kenny chesney with mac mcanally,down the road
426,toby keith,god love her
427,keith urban,sweet thing
429,darius rucker,it won't be like this for long
432,george strait,river of love
433,rascal flatts,here comes goodbye
434,rodney atkins,it's america
436,jason aldean,she's country
437,sugarland,it happens
439,brad paisley,then
442,kenny chesney,out last night
444,dierks bentley,sideways
446,lady antebellum,i run to you
447,billy currington,people are crazy
449,darius rucker,alright
450,taylor swift,you belong with me
452,jason aldean,big green tractor
456,justin moore,small town usa
457,toby keith,american ride
459,chris young,gettin' you home (the black dress song)
460,keith urban,only you can love me this way
461,zac brown band,toes
463,carrie underwood,cowboy casanova
464,lady antebellum,need you now
469,reba,consider me gone
473,tim mcgraw,southern voice
474,jason aldean,the truth
476,josh turner,why don't we just dance
480,billy currington,that's how country boys roll
481,blake shelton featuring trace adkins,hillbilly bone
482,easton corbin,a little more country than that
483,carrie underwood,temporary home
484,zac brown band,highway 20 ride
485,lady antebellum,american honey
487,joe nichols,gimmie that girl
489,chris young,the man i want to be
492,miranda lambert,the house that built me
496,brad paisley,water
498,luke bryan,rain is a good thing
500,carrie underwood,undo it
501,jerrod niemann,"lover, lover"
502,zac brown band,free
503,blake shelton,all about tonight
506,billy currington,pretty good at drinkin' beer
507,lady antebellum,our kind of love
509,kenny chesney,the boys of fall
511,josh turner,all over me
512,easton corbin,roll with it
513,darius rucker,come back song
515,zac brown band featuring alan jackson,as she's walking away
517,brad paisley,anything like me
518,the band perry,if i die young
519,rascal flatts,why wait
521,reba,turn on the radio
522,tim mcgraw,felt good on my lips
525,kenny chesney,somewhere with you
528,chris young,voices
529,luke bryan,someone else calling you baby
530,blake shelton,who are you when i'm not looking
531,jason aldean with kelly clarkson,don't you wanna stay
534,billy currington,let me down easy
535,thompson square,are you gonna kiss me or not
536,zac brown band,colder weather
538,darius rucker,this
539,kenny chesney,live a little
540,sara evans,a little bit stronger
542,miranda lambert,heart like mine
543,brad paisley featuring alabama,old alabama
545,keith urban,without you
546,blake shelton,honey bee
550,justin moore,if heaven wasn't so far away
551,jason aldean,dirt road anthem
552,chris young,tomorrow
553,zac brown band featuring jimmy buffett,knee deep
554,lady antebellum,just a kiss
556,dierks bentley,am i the only one
557,brad paisley duet with carrie underwood,remind me
558,jake owen,barefoot blue jean night
560,rodney atkins,take a back road
562,toby keith,made in america
563,keith urban,long hot summer
564,blake shelton,god gave me you
567,eli young band,crazy girl
568,taylor swift,sparks fly
569,brantley gilbert,country must be country wide
570,lady antebellum,we owned the night
572,zac brown band,keep me in mind
576,david nail featuring sarah buxton,let it rain
577,eric church,drink in my hand
578,luke bryan,i don't want this night to end
579,chris young,you
580,the band perry,all your life
582,keith urban,you gonna fly
584,kenny chesney,reality
585,dierks bentley,home
586,taylor swift,ours
587,jake owen,alone with you
589,lee brice,a woman like you
590,blake shelton,drink on it
592,rascal flatts,banjo
593,miranda lambert,over you
594,jason aldean,fly over states
595,kip moore,somethin' 'bout a truck
597,carrie underwood,good girl
598,eric church,springsteen
600,luke bryan,drunk on you
602,brantley gilbert,you don't know her like i do
603,eli young band,even if it breaks your heart
604,dierks bentley,5-1-5-0
605,kenny chesney,come over
607,love and theft,angel eyes
608,blake shelton,over
610,little big town,pontoon
612,hunter hayes,wanted
613,jason aldean,take a little ride
615,taylor swift,we are never ever getting back together
624,florida georgia line,cruise
630,the band perry,better dig two
631,gary allan,every storm (runs out of rain)
635,blake shelton,sure be cool if you did
640,darius rucker,wagon wheel
660,luke bryan,that's my kind of night
672,keith urban and miranda lambert,we were us
675,florida georgia line,stay
681,luke bryan,drink a beer
686,cole swindell,chillin' it
688,brantley gilbert,bottoms up
690,florida georgia line featuring luke bryan,this is how we roll
694,luke bryan,play it again
705,miranda lambert duet with carrie underwood,somethin' bad
706,jake owen,beachin'
707,florida georgia line,dirt
709,jason aldean,burnin' it down
723,sam hunt,leave the night on
724,carrie underwood,something in the water
727,tim mcgraw,shotgun rider
730,mercyme,god with us
731,casting crowns,east to west
739,matthew west,you are everything
747,jeremy camp,let it fade
749,needtobreathe,washed by the water
753,third day,call my name
766,brandon heath,give me your eyes
781,jeremy camp,there will be a day
795,francesca battistelli,free to be me
798,matthew west,the motions
813,"phillips, craig & dean",revelation song
824,tobymac,city on our knees
835,matthew west featuring amy grant,give this christmas away
838,casting crowns,until the whole world hears
841,kutless,what faith can do
849,mercyme,all of creation
858,tobymac,get back up
861,chris tomlin,our god
870,sanctus real,lead me
879,chris august,starry night
884,the afters,light up the sky
886,tobymac featuring leigh nash,christmas this year
889,brandon heath,your love
897,mercyme,beautiful
898,tenth avenue north,you are more
902,casting crowns,glorious day (living he loved me)
910,mandisa,stronger
911,laura story,blessings
915,sidewalk prophets,you love me anyway
918,jeremy camp,the way
919,chris tomlin,i lift my hands
921,mercyme,move
930,casting crowns,courageous
934,aaron shust,my hope is in you
936,tenth avenue north,strong enough to save
939,josh wilson,jesus is alive
948,building 429,where i belong
963,mercyme,the hurt & the healer
968,matt redman,"10,000 reasons (bless the lord)"
973,tobymac,me without you
983,big daddy weave,redeemed
987,third day,i need a miracle
988,passion featuring kristian stanfill,one thing remains
990,steven curtis chapman,christmas time again
996,chris tomlin,whom shall i fear (god of angel armies)
1012,matthew west,"hello, my name is"
1029,mandisa,overcomer
1039,hillsong united,oceans (where feet may fail)
1047,united,oceans (where feet may fail)
